aX,aY,aZ,gX,gY,gZ
2.807,1.166,0.671,14.954,54.810,9.521
3.042,1.315,0.624,12.207,69.885,11.292
3.285,1.645,0.249,8.423,90.210,8.301
3.454,1.613,-0.175,-24.841,107.727,-24.841
3.411,0.963,-0.534,-98.389,113.586,-85.449
3.272,0.059,-1.342,-149.963,124.329,-134.766
3.104,-0.885,-2.264,-167.969,125.000,-151.550
2.735,-1.801,-2.909,-149.902,85.205,-136.719
2.170,-2.528,-3.347,-100.159,21.240,-88.440
1.189,-2.896,-3.706,-55.481,-40.161,-11.597
-0.047,-2.407,-3.920,-34.119,-98.450,89.905
-1.352,-0.311,-3.049,-11.475,-200.623,213.135
-2.733,1.982,-1.284,1.404,-325.012,276.001
-4.000,2.649,0.015,-35.767,-371.277,197.693
-4.000,0.213,-0.272,-95.764,-329.956,11.292
-4.000,-2.493,-0.434,-130.554,-333.984,-64.697
-4.000,-3.229,1.754,-160.095,-457.703,89.294
-4.000,-1.224,4.000,-230.774,-583.496,408.936
-4.000,3.746,4.000,-328.491,-582.153,812.073
-4.000,4.000,4.000,-304.749,-480.042,1197.571
-4.000,4.000,4.000,47.302,-452.087,1328.613
-4.000,4.000,4.000,339.233,191.772,577.148
-4.000,3.249,-0.706,-192.810,1217.529,-834.778
-4.000,-4.000,-4.000,-797.546,1373.413,-1759.583
-4.000,-4.000,-4.000,-835.327,607.056,-1838.318
-3.795,-4.000,-3.999,-489.075,-58.228,-1168.823
-1.885,-4.000,-0.836,-215.210,-314.087,-225.769
-1.172,-2.314,-0.029,-42.297,-235.596,455.200
-0.699,0.831,-0.832,51.331,-52.856,650.452
-0.370,2.225,-1.417,109.436,23.682,565.369
-0.097,2.754,-1.012,127.930,-27.649,403.137
0.160,2.953,0.139,108.459,-116.211,263.611
0.269,3.053,1.070,89.966,-145.264,156.006
0.261,2.954,1.153,65.186,-87.036,60.669
0.220,2.220,0.614,34.546,-12.451,-40.588
0.141,1.213,0.329,6.653,11.902,-115.784
0.108,0.532,0.375,-0.671,3.601,-136.169
0.123,0.233,0.512,-0.549,-0.244,-120.117
0.080,-0.021,0.462,0.549,14.099,-99.609
0.073,-0.219,0.160,0.854,39.001,-76.904
0.072,-0.096,-0.036,3.723,49.255,-37.109
0.077,0.299,-0.031,15.564,42.114,6.897
0.096,0.648,0.057,30.029,34.363,36.072
0.110,0.905,0.087,55.786,30.640,49.500
0.158,1.313,0.099,71.472,29.419,59.814
0.191,1.686,0.029,83.313,31.311,58.472
0.192,1.775,-0.056,77.759,33.142,33.020
0.187,1.578,-0.063,62.256,29.358,-7.568
0.178,1.175,-0.005,46.692,22.217,-44.617
0.168,0.833,0.096,35.950,17.273,-61.401
0.139,0.592,0.203,33.325,14.160,-59.753
0.145,0.442,0.263,32.532,16.541,-48.584
0.119,0.401,0.253,29.297,23.071,-31.677
0.157,0.421,0.259,26.917,27.466,-12.451
0.174,0.430,0.267,25.085,31.433,1.526
0.209,0.506,0.233,23.193,37.109,15.869
0.274,0.816,0.182,28.687,40.039,34.119
0.306,1.118,0.088,44.678,39.856,43.457
0.369,1.250,0.027,46.326,36.560,36.011
0.393,1.202,0.061,39.307,29.236,14.587
0.384,1.046,0.118,30.334,23.865,-7.446
0.375,0.798,0.079,21.179,25.024,-23.743
0.379,0.570,0.104,12.878,22.888,-28.992
0.367,0.453,0.191,7.629,17.761,-22.461
0.401,0.396,0.212,4.639,18.616,-8.362
0.433,0.356,0.207,5.127,21.057,7.629
0.448,0.416,0.255,9.644,20.325,28.870
0.440,0.560,0.286,20.752,19.775,51.025
0.434,0.770,0.307,34.912,20.752,70.374
0.429,0.984,0.297,41.138,21.545,83.252
0.397,1.275,0.318,40.344,21.790,90.454
0.380,1.521,0.291,45.959,23.071,83.740
0.343,1.502,0.245,35.645,25.635,49.988
0.324,1.171,0.223,15.686,26.367,3.662
0.322,0.774,0.263,3.296,22.217,-23.254
0.324,0.588,0.307,1.587,19.775,-18.372
0.328,0.732,0.346,8.972,20.508,5.676
0.343,0.978,0.321,28.015,23.071,27.893
0.359,1.037,0.274,46.082,25.574,31.189
0.363,1.007,0.268,54.749,24.292,22.034
0.369,0.959,0.280,61.035,21.301,13.794
0.354,0.989,0.284,60.303,20.569,12.634
0.323,1.033,0.256,54.810,22.278,11.780
0.298,1.015,0.267,43.335,21.851,3.906
0.291,0.928,0.320,31.250,19.470,-7.568
0.292,0.900,0.396,23.499,18.250,-12.634
0.300,0.916,0.424,26.062,20.386,-11.658
0.291,0.925,0.308,28.931,30.762,-10.376
0.322,0.928,0.099,36.621,39.917,-8.240
0.371,0.981,0.057,41.504,34.302,-3.418
0.400,1.010,0.111,43.152,23.132,-2.075
0.412,0.992,0.181,36.133,16.418,-2.319
0.396,0.886,0.228,32.837,13.367,-5.371
0.388,0.683,0.269,20.264,14.404,-9.705
0.374,0.544,0.337,12.085,13.977,-5.005
0.354,0.603,0.379,14.954,12.939,7.263
0.347,0.745,0.271,37.964,15.198,17.639
0.241,0.848,0.317,33.508,9.399,18.677
0.405,0.976,0.319,38.696,4.272,18.066
0.401,1.082,0.288,55.115,5.737,11.597
0.441,1.053,0.212,35.767,7.080,-4.089
0.473,0.975,0.095,33.936,9.338,-20.691
0.479,0.930,0.077,36.560,1.221,-28.992
0.493,0.886,0.175,38.879,-12.451,-33.081
0.483,0.819,0.315,31.433,-21.851,-36.682
0.486,0.780,0.412,26.062,-24.292,-36.621
0.483,0.781,0.442,21.667,-21.667,-32.959
0.505,0.766,0.388,14.099,-15.625,-29.724
0.520,0.824,0.324,5.310,-12.390,-24.475
0.570,0.867,0.277,2.197,-13.062,-21.240
0.613,0.787,0.280,0.122,-16.418,-24.719
0.641,0.683,0.304,-4.700,-18.555,-26.184

