aX,aY,aZ,gX,gY,gZ
0.621,0.606,0.415,-4.456,0.610,-4.028
0.622,0.673,0.285,0.427,3.967,2.686
0.609,0.750,0.208,0.854,3.296,8.301
0.605,0.873,0.230,-0.488,-3.723,12.573
0.594,1.002,0.261,-2.075,-8.179,13.000
0.564,1.096,0.276,-7.629,-8.667,7.874

1.301,0.992,0.374,19.348,30.945,17.578
1.443,1.005,0.323,15.381,35.339,24.597
1.606,1.073,0.267,8.240,39.429,34.241
1.838,1.217,0.255,0.000,42.053,46.875
2.129,1.411,0.326,-8.728,42.236,58.472
2.478,1.609,0.434,-17.029,42.358,64.026
2.879,1.625,0.494,-23.376,47.913,55.847
3.075,1.545,0.741,-28.503,48.889,39.063
3.111,1.560,1.055,-29.968,49.133,25.879
3.130,1.610,0.995,-20.203,73.853,8.240
3.153,1.476,0.178,-8.423,124.878,-22.705
3.134,1.167,-1.076,4.700,167.603,-61.829
3.015,0.669,-2.557,-3.418,182.861,-99.426
2.611,-0.007,-4.000,-41.809,172.852,-129.639
1.825,-0.952,-4.000,-106.750,113.037,-139.282
0.673,-2.129,-4.000,-163.025,-31.555,-120.117
-0.634,-2.986,-4.000,-150.208,-213.440,-55.359
-2.125,-3.076,-2.451,-103.516,-349.792,48.523
-3.808,-1.620,-0.465,-65.186,-419.434,191.589
-4.000,0.665,1.154,-27.100,-429.321,315.247
-4.000,1.434,1.410,14.221,-371.582,294.067
-4.000,-1.015,-0.098,1.892,-307.678,154.480
-4.000,-2.880,1.793,-82.031,-440.247,169.312
-4.000,0.466,4.000,-206.421,-777.954,530.762
-4.000,4.000,4.000,-326.965,-920.654,1067.993
-4.000,4.000,4.000,-313.110,-608.398,1477.600
-4.000,4.000,4.000,-42.664,266.418,936.218
-4.000,3.997,0.863,-173.706,1239.929,-614.319
-4.000,-3.374,-4.000,-388.245,1375.427,-1758.667
-4.000,-4.000,-4.000,-525.513,851.501,-1958.191
-3.962,-4.000,-4.000,-557.739,312.561,-1415.344
-2.060,-4.000,-2.229,-291.138,35.217,-431.641
-1.317,-2.852,-1.335,-12.451,-4.089,305.298
-0.710,-0.013,-1.563,70.740,61.462,531.982
-0.287,1.298,-1.853,73.792,106.812,505.310
-0.108,1.681,-2.016,57.007,92.468,357.483
0.121,1.679,-1.627,64.209,20.996,218.079
0.215,1.681,-0.810,80.994,-54.382,133.972
0.175,1.572,-0.263,89.783,-77.271,75.256
0.105,1.270,-0.125,78.552,-52.856,20.630
0.045,0.994,-0.153,57.251,-25.879,-10.010
0.030,0.992,-0.085,51.880,-20.691,-11.536
0.049,1.109,0.097,60.913,-27.771,-6.409
0.050,1.166,0.316,67.993,-31.860,-11.292
0.026,1.129,0.406,72.388,-22.644,-24.414
0.033,0.930,0.310,70.557,-3.235,-41.992
0.052,0.615,0.224,63.232,8.606,-54.871
0.088,0.460,0.228,55.420,8.911,-50.659
0.125,0.526,0.205,43.884,10.498,-32.410
0.156,0.622,0.190,31.799,12.756,-16.846
0.164,0.650,0.206,20.569,11.414,-9.277
0.167,0.667,0.227,7.080,11.169,-2.441
0.205,0.817,0.214,3.845,12.451,9.033
0.203,1.102,0.241,-0.366,12.268,24.536
0.216,1.274,0.201,-1.709,14.648,24.902
0.250,1.289,0.143,-2.014,18.311,7.202
0.264,1.068,0.102,6.958,16.907,-23.071
0.308,0.757,0.113,9.033,13.062,-44.373
