aX,aY,aZ,gX,gY,gZ
-3.515,-2.947,-1.834,72.205,259.216,-30.518
-3.349,-1.090,-1.508,38.330,150.269,162.109
-3.063,-0.081,-0.952,8.240,60.730,229.492
-2.704,0.340,-0.339,-17.212,0.488,226.624
-2.350,0.603,-0.069,-30.884,-23.743,218.567
-2.037,0.845,-0.216,-37.048,-22.034,213.684
-1.732,1.238,-0.450,-42.358,-23.010,214.783
-1.399,1.681,-0.586,-38.147,-38.635,210.815
-1.078,1.985,-0.636,-20.081,-61.401,186.890
-0.752,2.059,-0.564,-10.010,-85.938,145.203
-0.456,1.736,-0.498,1.343,-106.567,91.309
-0.184,1.329,-0.334,-1.770,-124.512,48.950
0.059,1.088,-0.089,-10.254,-138.550,27.588
0.264,0.905,0.119,-15.686,-142.456,13.916
0.424,0.675,0.247,-13.184,-136.841,0.000
0.565,0.450,0.352,-6.836,-127.808,-8.972
0.682,0.269,0.389,0.549,-114.624,-11.414
0.753,0.146,0.324,3.845,-98.022,-6.775
0.815,0.148,0.233,-1.282,-83.069,4.761
0.863,0.324,0.214,-10.681,-74.341,20.874
0.880,0.554,0.136,-18.677,-65.552,29.724
0.879,0.642,0.007,-20.081,-57.678,24.170
0.885,0.681,-0.133,-18.555,-54.626,12.268
0.887,0.696,-0.236,-9.460,-57.983,0.244
0.901,0.600,-0.158,4.639,-68.054,-14.771
0.901,0.435,-0.086,12.146,-72.937,-28.625
0.899,0.329,-0.088,14.648,-70.435,-35.034
0.879,0.236,-0.097,14.282,-67.871,-36.194
0.859,0.093,-0.125,12.207,-66.284,-35.278
0.849,-0.047,-0.089,8.179,-67.993,-29.602
0.845,-0.085,-0.065,-1.282,-68.909,-15.808
0.835,-0.035,-0.063,-11.658,-67.932,1.709
0.813,0.068,-0.071,-18.677,-67.017,18.127
0.801,0.233,-0.099,-22.034,-66.772,31.555
0.797,0.407,-0.111,-26.428,-68.237,39.673
0.783,0.552,-0.141,-26.794,-71.106,41.260
0.769,0.724,-0.123,-21.606,-77.271,37.415
0.722,0.788,-0.137,-15.015,-82.886,25.452
0.688,0.727,-0.171,-5.493,-88.989,6.409
0.646,0.589,-0.152,0.854,-98.389,-10.254
0.615,0.427,-0.133,6.592,-107.788,-23.071
0.635,0.248,-0.122,9.521,-115.479,-30.701
0.662,0.100,-0.086,12.085,-123.047,-31.921
0.710,-0.013,-0.018,18.738,-130.005,-28.259
0.740,-0.062,0.072,20.447,-135.620,-19.348
0.788,-0.071,0.168,18.127,-136.719,-7.385
0.800,0.002,0.229,18.860,-133.484,6.775
0.807,0.199,0.330,14.404,-128.174,23.743
0.785,0.396,0.361,10.071,-120.300,34.180
0.767,0.549,0.187,3.906,-106.995,35.889
0.753,0.640,0.010,-0.671,-100.891,30.762
0.738,0.711,0.032,-0.244,-109.863,22.766
0.760,0.702,0.111,4.517,-120.300,9.705
0.786,0.577,0.129,11.963,-125.244,-6.531
0.815,0.461,0.120,19.287,-130.127,-20.142
0.810,0.248,0.265,23.193,-141.235,-29.480
0.858,0.102,0.420,16.785,-148.743,-30.151
0.888,0.040,0.633,2.747,-149.963,-19.226
0.903,0.112,0.805,-7.751,-143.311,-4.089
0.885,0.249,0.842,-15.015,-126.709,9.705
0.865,0.365,0.719,-14.404,-106.934,15.320
0.820,0.415,0.553,-10.681,-94.421,12.695
0.825,0.460,0.426,-4.089,-92.896,6.470
0.824,0.438,0.466,5.676,-100.952,-2.930
0.806,0.405,0.519,18.127,-106.506,-12.512
0.803,0.356,0.484,26.428,-106.262,-21.179
0.785,0.220,0.435,28.137,-106.384,-29.480
0.766,0.124,0.426,22.095,-109.741,-30.396
